"Country,",Total,New,,New,Total,Active,"Serious,",Tot Cases/,Tot Deaths/,,,,,,
Other,Cases,Cases,,Deaths,Recovered,Cases,Critical,1M pop,1M pop,,,,,,
USA,85000,,,,1868,82272,2122,258,4,,,,,,
China,81340,55,,5,74588,3460,1034,57,2,,,,,,
Italy,80589,,,,10361,62013,3612,1333,136,,,,,,
Spain,57786,,,,7015,46406,3166,1236,93,,,,,,
Germany,43938,,,,5673,37998,23,524,3,,,,,,
Iran,29406,,,,10457,16715,2746,350,27,,,,,,
France,29155,,,,4948,22511,3375,447,26,,,,,,
Switzerland,11811,,,,131,11488,141,1365,22,,,,,,
UK,11658,,,,135,10945,163,172,9,,,,,,
S. Korea,9241,,,,4144,4966,59,180,3,,,,,,
Netherlands,7431,,,,3,6994,761,434,25,,,,,,
Austria,6909,,,,112,6748,96,767,5,,,,,,
Belgium,6235,,,,675,5340,605,538,19,,,,,,
Canada,4043,,,,228,3776,120,107,1,,,,,,
Turkey,3629,,,,26,3528,136,43,1,,,,,,
Portugal,3544,,,,43,3441,61,348,6,,,,,,
Norway,3372,,,,6,3352,70,622,3,,,,,,
Australia,3050,,,,170,2867,23,120,1,,,,,,
Brazil,2985,,,,6,2902,18,14,0,,,,,,
Sweden,2840,,,,16,2747,200,281,8,,,,,,
Israel,2693,,,,68,2617,46,311,1,,,,,,
Malaysia,2031,,,,215,1793,45,63,1,,,,,,
Czechia,1925,,,,10,1906,34,180,1,,,,,,
Denmark,1877,,,,1,1835,94,324,7,,,,,,
Ireland,1819,,,,5,1795,47,368,4,,,,,,
Luxembourg,1453,,,,6,1438,3,2321,14,,,,,,
Ecuador,1403,,,,3,1366,58,80,2,,,,,,
Japan,1387,,,,359,981,57,11,0,,,,,,
Chile,1306,,,,22,1280,7,68,0,,,,,,
Poland,1221,,,,7,1198,3,32,0,,,,,,
Pakistan,1201,,,,21,1171,5,5,0,,,,,,
Thailand,1045,,,,88,953,4,15,0,,,,,,
Romania,1029,,,,94,912,29,53,1,,,,,,
Saudi Arabia,1012,,,,33,976,6,29,0,,,,,,
Finland,958,,,,10,943,24,173,1,,,,,,
South Africa,927,,,,12,915,2,16,,,,,,,
Indonesia,893,,,,35,780,,3,0,,,,,,
Greece,892,,,,36,829,53,86,3,,,,,,
Russia,840,,,,38,799,8,6,0,,,,,,
Iceland,802,,,,82,718,11,2350,6,,,,,,
India,727,,,,45,662,,1,0,,,,,,
Diamond Princess,712,,,,597,105,15,,,,,,,,
Philippines,707,,,,28,634,1,6,0,,,,,,
Singapore,683,,,,172,509,17,117,0,,,,,,
Panama,674,,,,2,663,20,156,2,,,,,,
Argentina,589,,,,72,505,,13,0,,,,,,
Peru,580,,,,14,557,14,18,0,,,,,,
Slovenia,562,,,,10,546,14,270,3,,,,,,
Qatar,549,,,,43,506,6,191,,,,,,,
Estonia,538,,,,8,529,6,406,1,,,,,,
